"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"211","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","10.4","California","2016-07-31"
"511","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","3","California","2016-07-31"
"799","ug/m3 LC","San Francisco-Oakland-Hayward","37.814781","-122.282347","Alameda","1.7","California","2016-07-31"
"1082","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","5.8","California","2016-07-31"
"1201","ug/m3 LC","San Francisco-Oakland-Hayward","37.8647670009","-122.302741","Alameda","2.7","California","2016-07-31"
"1479","ug/m3 LC","Chico","39.7615384387","-121.8416203644","Butte","5.6","California","2016-07-31"
"2128","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","6","California","2016-07-31"
"2559","ug/m3 LC","San Francisco-Oakland-Hayward","37.936013","-122.026154","Contra Costa","4","California","2016-07-31"
"2833","ug/m3 LC","San Francisco-Oakland-Hayward","37.9604","-122.356811","Contra Costa","3.8","California","2016-07-31"
"3115","ug/m3 LC","Fresno","36.7853217602","-119.7741738902","Fresno","11.9","California","2016-07-31"
"3562","ug/m3 LC","Fresno","36.9851185574","-119.6583393499","Fresno","13.2","California","2016-07-31"
"4063","ug/m3 LC","Fresno","36.6342250009","-120.382331","Fresno","17.7","California","2016-07-31"
"4841","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","9.1","California","2016-07-31"
"5100","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","9.7","California","2016-07-31"
"5598","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","19.8","California","2016-07-31"
"5956","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","18","California","2016-07-31"
"6295","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","16.3","California","2016-07-31"
"6539","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","7.9","California","2016-07-31"
"6799","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","8","California","2016-07-31"
"7152","ug/m3 LC","Bakersfield","34.841567","-118.860588","Kern","13.3","California","2016-07-31"
"7501","ug/m3 LC","Hanford-Corcoran","36.3143988776","-119.6445696359","Kings","13.7","California","2016-07-31"
"8023","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0665900009","-118.22688","Los Angeles","9.7","California","2016-07-31"
"9031","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.82376","-118.18921","Los Angeles","8.4","California","2016-07-31"
"9295","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.79236","-118.17533","Los Angeles","7.7","California","2016-07-31"
"9723","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.859444","-118.200278","Los Angeles","8.8","California","2016-07-31"
"10382","ug/m3 LC","Madera","36.953256","-120.034203","Madera","8.3","California","2016-07-31"
"10588","ug/m3 LC","San Francisco-Oakland-Hayward","37.97231","-122.520004","Marin","2.7","California","2016-07-31"
"11141","ug/m3 LC","Merced","37.281598109","-120.4349916881","Merced","12.6","California","2016-07-31"
"11495","ug/m3 LC","Salinas","36.4957666675","-121.7315711407","Monterey","28.9","California","2016-07-31"
"11762","ug/m3 LC","Salinas","36.2092860009","-121.126371","Monterey","10.7","California","2016-07-31"
"12045","ug/m3 LC","Salinas","36.6967601141","-121.6371823446","Monterey","7.1","California","2016-07-31"
"12306","ug/m3 LC","Napa","38.310942","-122.296189","Napa","10.9","California","2016-07-31"
"12721","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.83062","-117.93845","Orange","7.6","California","2016-07-31"
"13242","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.935577909","-121.100647797","Placer","5.2","California","2016-07-31"
"13719","ug/m3 LC","No Data","39.9370989451","-120.9388206689","Plumas","9.8","California","2016-07-31"
"14100","ug/m3 LC","Riverside-San Bernardino-Ontario","33.4478670009","-117.088649","Riverside","12.7","California","2016-07-31"
"15263","ug/m3 LC","Riverside-San Bernardino-Ontario","33.9995800009","-117.41601","Riverside","10.4","California","2016-07-31"
"15839","ug/m3 LC","Riverside-San Bernardino-Ontario","33.995638","-117.493304","Riverside","10.6","California","2016-07-31"
