"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"216","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","5.9","California","2016-08-05"
"516","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","1","California","2016-08-05"
"804","ug/m3 LC","San Francisco-Oakland-Hayward","37.814781","-122.282347","Alameda","1.6","California","2016-08-05"
"1087","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","4.8","California","2016-08-05"
"1206","ug/m3 LC","San Francisco-Oakland-Hayward","37.8647670009","-122.302741","Alameda","4.3","California","2016-08-05"
"1484","ug/m3 LC","Chico","39.7615384387","-121.8416203644","Butte","7.5","California","2016-08-05"
"2133","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","7.9","California","2016-08-05"
"2564","ug/m3 LC","San Francisco-Oakland-Hayward","37.936013","-122.026154","Contra Costa","1.3","California","2016-08-05"
"3120","ug/m3 LC","Fresno","36.7853217602","-119.7741738902","Fresno","9.4","California","2016-08-05"
"3567","ug/m3 LC","Fresno","36.9851185574","-119.6583393499","Fresno","13.9","California","2016-08-05"
"3849","ug/m3 LC","Fresno","36.198672","-120.101096","Fresno","10.2","California","2016-08-05"
"4312","ug/m3 LC","Fresno","36.8191105157","-119.7173558156","Fresno","9.8","California","2016-08-05"
"4846","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","11","California","2016-08-05"
"5105","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","11.8","California","2016-08-05"
"5603","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","9.9","California","2016-08-05"
"5961","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","9.1","California","2016-08-05"
"6300","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","13.1","California","2016-08-05"
"6544","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","14.5","California","2016-08-05"
"6804","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","15.5","California","2016-08-05"
"7157","ug/m3 LC","Bakersfield","34.841567","-118.860588","Kern","15.7","California","2016-08-05"
"8028","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0665900009","-118.22688","Los Angeles","11.9","California","2016-08-05"
"9036","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.82376","-118.18921","Los Angeles","8.2","California","2016-08-05"
"9300","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.79236","-118.17533","Los Angeles","7.4","California","2016-08-05"
"9728","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.859444","-118.200278","Los Angeles","9.2","California","2016-08-05"
"10593","ug/m3 LC","San Francisco-Oakland-Hayward","37.97231","-122.520004","Marin","2.9","California","2016-08-05"
"11146","ug/m3 LC","Merced","37.281598109","-120.4349916881","Merced","11.2","California","2016-08-05"
"11500","ug/m3 LC","Salinas","36.4957666675","-121.7315711407","Monterey","45.2","California","2016-08-05"
