"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"248","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","18","California","2016-09-06"
"548","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","12.3","California","2016-09-06"
"830","ug/m3 LC","San Francisco-Oakland-Hayward","37.814781","-122.282347","Alameda","16.9","California","2016-09-06"
"1119","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","15.4","California","2016-09-06"
"1238","ug/m3 LC","San Francisco-Oakland-Hayward","37.8647670009","-122.302741","Alameda","14.7","California","2016-09-06"
"2163","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","32.6","California","2016-09-06"
"2596","ug/m3 LC","San Francisco-Oakland-Hayward","37.936013","-122.026154","Contra Costa","15.1","California","2016-09-06"
"2859","ug/m3 LC","San Francisco-Oakland-Hayward","37.9604","-122.356811","Contra Costa","15.2","California","2016-09-06"
"3586","ug/m3 LC","Fresno","36.9851185574","-119.6583393499","Fresno","11.2","California","2016-09-06"
"5136","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","16.4","California","2016-09-06"
"5197","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","14.2","California","2016-09-06"
"5285","ug/m3 LC","El Centro","32.97833","-115.53917","Imperial","11.9","California","2016-09-06"
"5377","ug/m3 LC","El Centro","32.79222","-115.56306","Imperial","14","California","2016-09-06"
"5635","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","3.2","California","2016-09-06"
"5738","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","6","California","2016-09-06"
"5993","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","7.5","California","2016-09-06"
"6332","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","11","California","2016-09-06"
"6836","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","15.2","California","2016-09-06"
"7189","ug/m3 LC","Bakersfield","34.841567","-118.860588","Kern","7.6","California","2016-09-06"
"7631","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.1365","-117.92391","Los Angeles","14","California","2016-09-06"
"8060","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0665900009","-118.22688","Los Angeles","12.7","California","2016-09-06"
"8370","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.19925","-118.53276","Los Angeles","11.5","California","2016-09-06"
"8639","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.9013890009","-118.205","Los Angeles","11.4","California","2016-09-06"
"8729","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0119400009","-118.06995","Los Angeles","12.6","California","2016-09-06"
