"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"252","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","9.4","California","2016-09-15"
"553","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","8.4","California","2016-09-15"
"1124","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","10.8","California","2016-09-15"
"1676","ug/m3 LC","Chico","39.7615384387","-121.8416203644","Butte","9.7","California","2016-09-15"
"2172","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","9.1","California","2016-09-15"
"2868","ug/m3 LC","San Francisco-Oakland-Hayward","37.9604","-122.356811","Contra Costa","10.5","California","2016-09-15"
"3595","ug/m3 LC","Fresno","36.9851185574","-119.6583393499","Fresno","9.1","California","2016-09-15"
"5145","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","6.9","California","2016-09-15"
"5288","ug/m3 LC","El Centro","32.97833","-115.53917","Imperial","6.2","California","2016-09-15"
"5380","ug/m3 LC","El Centro","32.79222","-115.56306","Imperial","5.8","California","2016-09-15"
"5644","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","5.1","California","2016-09-15"
"5740","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","4","California","2016-09-15"
"6002","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","5.6","California","2016-09-15"
"6341","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","9.2","California","2016-09-15"
"6845","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","14.2","California","2016-09-15"
"6898","ug/m3 LC","Bakersfield","35.62109","-117.67296","Kern","7.8","California","2016-09-15"
"7197","ug/m3 LC","Bakersfield","34.841567","-118.860588","Kern","8.7","California","2016-09-15"
"7545","ug/m3 LC","Clearlake","39.0327","-122.92229","Lake","5.1","California","2016-09-15"
"7634","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.1365","-117.92391","Los Angeles","9.2","California","2016-09-15"
"8069","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0665900009","-118.22688","Los Angeles","11.4","California","2016-09-15"
"8125","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0665900009","-118.22688","Los Angeles","11.4","California","2016-09-15"
"8373","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.19925","-118.53276","Los Angeles","6.8","California","2016-09-15"
"8640","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.9013890009","-118.205","Los Angeles","8.5","California","2016-09-15"
"8732","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0119400009","-118.06995","Los Angeles","10.6","California","2016-09-15"
"8822","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.1326","-118.1272","Los Angeles","9.2","California","2016-09-15"
"9077","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.82376","-118.18921","Los Angeles","9.9","California","2016-09-15"
"9337","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.79236","-118.17533","Los Angeles","7.8","California","2016-09-15"
"9769","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.859444","-118.200278","Los Angeles","11.2","California","2016-09-15"
"11187","ug/m3 LC","Merced","37.281598109","-120.4349916881","Merced","15","California","2016-09-15"
"11539","ug/m3 LC","Salinas","36.4957666675","-121.7315711407","Monterey","7","California","2016-09-15"
"11808","ug/m3 LC","Salinas","36.2092860009","-121.126371","Monterey","8.4","California","2016-09-15"
"12091","ug/m3 LC","Salinas","36.6967601141","-121.6371823446","Monterey","8.1","California","2016-09-15"
