"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"263","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","7.7","California","2016-09-26"
"564","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","10.6","California","2016-09-26"
"839","ug/m3 LC","San Francisco-Oakland-Hayward","37.814781","-122.282347","Alameda","14.5","California","2016-09-26"
"1135","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","11.9","California","2016-09-26"
"1249","ug/m3 LC","San Francisco-Oakland-Hayward","37.8647670009","-122.302741","Alameda","10.6","California","2016-09-26"
"2183","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","6.1","California","2016-09-26"
"2879","ug/m3 LC","San Francisco-Oakland-Hayward","37.9604","-122.356811","Contra Costa","10","California","2016-09-26"
"3606","ug/m3 LC","Fresno","36.9851185574","-119.6583393499","Fresno","7.5","California","2016-09-26"
"5156","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","8.9","California","2016-09-26"
"5655","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","1.6","California","2016-09-26"
"6012","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","3.1","California","2016-09-26"
"6352","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","6.1","California","2016-09-26"
"6856","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","14.2","California","2016-09-26"
"7208","ug/m3 LC","Bakersfield","34.841567","-118.860588","Kern","0.1","California","2016-09-26"
"8080","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0665900009","-118.22688","Los Angeles","6.8","California","2016-09-26"
"9088","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.82376","-118.18921","Los Angeles","8.7","California","2016-09-26"
"9348","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.79236","-118.17533","Los Angeles","8.1","California","2016-09-26"
"9780","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.859444","-118.200278","Los Angeles","10.6","California","2016-09-26"
"10632","ug/m3 LC","San Francisco-Oakland-Hayward","37.97231","-122.520004","Marin","9.2","California","2016-09-26"
"11198","ug/m3 LC","Merced","37.281598109","-120.4349916881","Merced","13.5","California","2016-09-26"
"11819","ug/m3 LC","Salinas","36.2092860009","-121.126371","Monterey","5.5","California","2016-09-26"
"12102","ug/m3 LC","Salinas","36.6967601141","-121.6371823446","Monterey","5.1","California","2016-09-26"
"12358","ug/m3 LC","Napa","38.310942","-122.296189","Napa","9.2","California","2016-09-26"
