"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"260","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","6","California","2016-09-23"
"561","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","7.4","California","2016-09-23"
"1132","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","10.4","California","2016-09-23"
"2180","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","4.6","California","2016-09-23"
"2876","ug/m3 LC","San Francisco-Oakland-Hayward","37.9604","-122.356811","Contra Costa","8.8","California","2016-09-23"
"3603","ug/m3 LC","Fresno","36.9851185574","-119.6583393499","Fresno","4.8","California","2016-09-23"
"5153","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","14.4","California","2016-09-23"
"5290","ug/m3 LC","El Centro","32.97833","-115.53917","Imperial","8.7","California","2016-09-23"
"5652","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","-0.2","California","2016-09-23"
"6009","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","4.1","California","2016-09-23"
"6349","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","7.2","California","2016-09-23"
"6853","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","11.1","California","2016-09-23"
"7205","ug/m3 LC","Bakersfield","34.841567","-118.860588","Kern","5","California","2016-09-23"
"8077","ug/m3 LC","Los Angeles-Long Beach-Anaheim","34.0665900009","-118.22688","Los Angeles","14.3","California","2016-09-23"
"9085","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.82376","-118.18921","Los Angeles","12.7","California","2016-09-23"
"9345","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.79236","-118.17533","Los Angeles","10.9","California","2016-09-23"
"9777","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.859444","-118.200278","Los Angeles","14.2","California","2016-09-23"
"10629","ug/m3 LC","San Francisco-Oakland-Hayward","37.97231","-122.520004","Marin","8","California","2016-09-23"
"11195","ug/m3 LC","Merced","37.281598109","-120.4349916881","Merced","9.9","California","2016-09-23"
"11816","ug/m3 LC","Salinas","36.2092860009","-121.126371","Monterey","5.3","California","2016-09-23"
"12099","ug/m3 LC","Salinas","36.6967601141","-121.6371823446","Monterey","6.1","California","2016-09-23"
"12355","ug/m3 LC","Napa","38.310942","-122.296189","Napa","7.2","California","2016-09-23"
"12771","ug/m3 LC","Los Angeles-Long Beach-Anaheim","33.83062","-117.93845","Orange","11.9","California","2016-09-23"
"13296","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.935577909","-121.100647797","Placer","4","California","2016-09-23"
"14142","ug/m3 LC","Riverside-San Bernardino-Ontario","33.4478670009","-117.088649","Riverside","18","California","2016-09-23"
"14769","ug/m3 LC","Riverside-San Bernardino-Ontario","33.9447129","-116.830074","Riverside","11.1","California","2016-09-23"
"15317","ug/m3 LC","Riverside-San Bernardino-Ontario","33.9995800009","-117.41601","Riverside","14.5","California","2016-09-23"
"15893","ug/m3 LC","Riverside-San Bernardino-Ontario","33.995638","-117.493304","Riverside","14.6","California","2016-09-23"
"16790","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.6137790009","-121.368014","Sacramento","8.2","California","2016-09-23"
"17118","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.5582277239","-121.4929811724","Sacramento","4","California","2016-09-23"
"17432","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.683304","-121.164457","Sacramento","5.9","California","2016-09-23"
"17695","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.683304","-121.164457","Sacramento","4.8","California","2016-09-23"
"18041","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","36.8440963155","-121.3621211714","San Benito","4.3","California","2016-09-23"
"18477","ug/m3 LC","Riverside-San Bernardino-Ontario","34.030833","-117.61722","San Bernardino","16.8","California","2016-09-23"
"19325","ug/m3 LC","San Diego-Carlsbad","32.8422420009","-116.768225","San Diego","9","California","2016-09-23"
"19586","ug/m3 LC","San Diego-Carlsbad","33.2170250009","-117.396158","San Diego","22.7","California","2016-09-23"
"20082","ug/m3 LC","San Diego-Carlsbad","32.7014920009","-117.149653","San Diego","16.2","California","2016-09-23"
