"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"218","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","7.9","California","2016-08-07"
"518","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","5.9","California","2016-08-07"
"806","ug/m3 LC","San Francisco-Oakland-Hayward","37.814781","-122.282347","Alameda","7.5","California","2016-08-07"
"1089","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","9.9","California","2016-08-07"
"1208","ug/m3 LC","San Francisco-Oakland-Hayward","37.8647670009","-122.302741","Alameda","9.4","California","2016-08-07"
"1486","ug/m3 LC","Chico","39.7615384387","-121.8416203644","Butte","8.2","California","2016-08-07"
"2135","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","8","California","2016-08-07"
"2566","ug/m3 LC","San Francisco-Oakland-Hayward","37.936013","-122.026154","Contra Costa","4.7","California","2016-08-07"
"3122","ug/m3 LC","Fresno","36.7853217602","-119.7741738902","Fresno","6.6","California","2016-08-07"
"3569","ug/m3 LC","Fresno","36.9851185574","-119.6583393499","Fresno","7.1","California","2016-08-07"
"3851","ug/m3 LC","Fresno","36.198672","-120.101096","Fresno","2.8","California","2016-08-07"
"4137","ug/m3 LC","Fresno","36.8191105157","-119.7173558156","Fresno","7.1","California","2016-08-07"
"4314","ug/m3 LC","Fresno","36.8191105157","-119.7173558156","Fresno","6.6","California","2016-08-07"
"4410","ug/m3 LC","Fresno","36.72639","-119.733","Fresno","6.6","California","2016-08-07"
"5605","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","5.4","California","2016-08-07"
"5728","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","5","California","2016-08-07"
"5963","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","6.6","California","2016-08-07"
"6087","ug/m3 LC","Bakersfield","35.385574","-119.015009","Kern","11.7","California","2016-08-07"
"6302","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","11.6","California","2016-08-07"
"6546","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","11","California","2016-08-07"
"6591","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","10.7","California","2016-08-07"
"6806","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","11.3","California","2016-08-07"
"6952","ug/m3 LC","Bakersfield","35.3229283838","-118.9991668221","Kern","16.3","California","2016-08-07"
"7286","ug/m3 LC","Hanford-Corcoran","36.1021801683","-119.566954018","Kings","10.4","California","2016-08-07"
"10595","ug/m3 LC","San Francisco-Oakland-Hayward","37.97231","-122.520004","Marin","8.1","California","2016-08-07"
"11148","ug/m3 LC","Merced","37.281598109","-120.4349916881","Merced","10.7","California","2016-08-07"
"11274","ug/m3 LC","Merced","37.3085371814","-120.4809932542","Merced","8","California","2016-08-07"
"11502","ug/m3 LC","Salinas","36.4957666675","-121.7315711407","Monterey","77","California","2016-08-07"
"11769","ug/m3 LC","Salinas","36.2092860009","-121.126371","Monterey","12.5","California","2016-08-07"
"12052","ug/m3 LC","Salinas","36.6967601141","-121.6371823446","Monterey","6","California","2016-08-07"
"12313","ug/m3 LC","Napa","38.310942","-122.296189","Napa","12.6","California","2016-08-07"
"12505","ug/m3 LC","Truckee-Grass Valley","39.3385040715","-120.1712909431","Nevada","9.1","California","2016-08-07"
"13249","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.935577909","-121.100647797","Placer","7.6","California","2016-08-07"
"13726","ug/m3 LC","No Data","39.9370989451","-120.9388206689","Plumas","7","California","2016-08-07"
